author,author_url,build_with,desc_len,hackathon_names,hackathon_status,hackathon_urls,is_winner,num_cmts,num_imgs,num_likes,project_name,project_url,software_url,win_titles
raviashwin Ravishankar||Dheeraj Yalamanchili||sriPithani987||saahithmatam Matam,https://devpost.com/raviashwin||https://devpost.com/dhee9000||https://devpost.com/sriPithani987||https://devpost.com/saahithmatam,firebase||google||google-docs||google-maps||google-translate||google-web-speech-api||javascript||react||react-native||redux||saga,2173,TAMUhack 2020,,https://tamuhack2020.devpost.com/,False,1,8,1,EasyAccess,https://devpost.com/software/easyaccess-d47buc,https://github.com/dhee9000/easyaccess||https://docs.google.com/presentation/d/17el7NkgLlr75SmLicsAKfrR3-qpEr-Sjjm-HOD7Inws/edit?usp=sharing,
imranrehman-it REHMAN||Moiz Ahmed,https://devpost.com/imranrehman-it||https://devpost.com/MoizAhmedd,angular.js||azure||flask||gcp||nltk,1933,DeltaHacks VI,,https://deltahacks6.devpost.com/,False,1,2,1,Smartr,https://devpost.com/software/smartr,,
Dylan Anderson||Sam Boldon||Vishnu Chhabra,https://devpost.com/and08395||https://devpost.com/sboldon||https://devpost.com/vishnukabirc,firebase||google-cloud||heroku||node.js||python||react,1434,MinneHack 2020,,https://minnehack2020.devpost.com/,False,0,2,2,LifePulse,https://devpost.com/software/lifepulse,https://lifepulseminnehack2020.herokuapp.com,
Hamza Kaced||Jules Petit||Amritpal Padda||Davido Bodromian,https://devpost.com/killerkronx||https://devpost.com/Saladenicois||https://devpost.com/amrit_padda||https://devpost.com/DavidoBod,beautiful-soup||html5||ibm-watson||javascript||natural-language-processing||nltk||python||requests,2330,ConUHacks V,,https://conuhacks2020.devpost.com/,False,0,1,4,SimpleTOS,https://devpost.com/software/simpletos,https://github.com/Amrit-Padda/simpleTOS,
Aneil Marathi||Canyon Sembera||Leah Tomotaki||Andres Blanco,https://devpost.com/amarathi||https://devpost.com/canyonsembera||https://devpost.com/lgtomotaki||https://devpost.com/AndresBlanco,firebase||swift||xcode,2776,TAMUhack 2020,,https://tamuhack2020.devpost.com/,True,1,5,0,Firefighter App,https://devpost.com/software/firefighter-app,https://github.com/leah-tomotaki/Firefighter,USAA Challenge
Nicole Yee||Emma Butler||Anna Ohrt||rsil426 Silverman,https://devpost.com/nicole_yee||https://devpost.com/emma_butler||https://devpost.com/anna_ohrt||https://devpost.com/rsil426,adobexd,1780,Hack@Brown 2020,,https://hackatbrown2020.devpost.com/,True,0,6,2,Sandbank,https://devpost.com/software/sandbank-7j2a4q,,Best First Time Hacker
Francisco Guerrero||damarsierra Sierra||ShaneHolmes10,https://devpost.com/fguerrero848731||https://devpost.com/damarsierra||https://devpost.com/ShaneHolmes10,arduino||c#||eno||xml,1634,PhoenixHacks 2020,,https://phoenixhacks2020.devpost.com/||https://qwerhacks2020.devpost.com/,False,0,1,2,Robots Fighting/Turret Demo,https://devpost.com/software/robots-fighting-turret-demo,https://github.com/ShaneHolmes10/Hackathon,
Emily O'Mahony||Haley Kim||1strangequark,https://devpost.com/emilyomahony||https://devpost.com/haleykim||https://devpost.com/1strangequark,google-teachable-machine||swift||tensorflow-lite,1804,QWER Hacks,,https://qwerhacks2020.devpost.com/,False,0,2,1,QWERSTAR,https://devpost.com/software/qwerstar,https://github.com/1strangequark/VisualCostar,
Nathan Fei||Kedar Abhyankar||Joseph Hsu,https://devpost.com/GeoffYart||https://devpost.com/kedarabhyankar||https://devpost.com/josephhsu2000,bootstrap||firebase||google-cloud||ipinfo.io||javascript||popper,2759,BoilerMake VII,,https://boilermake-vii.devpost.com/,False,0,1,2,LebN,https://devpost.com/software/lebn-p0cqe9,https://github.com/JHsu01/Boilermake2020,
Laksh Anand||JosephNagel||Aniket Kabra,https://devpost.com/anandl||https://devpost.com/JosephNagel||https://devpost.com/kabraa,apis||python,1189,DeltaHacks VI,,https://deltahacks6.devpost.com/,False,0,0,1,Instatute,https://devpost.com/software/instatute-n3ldtz,https://github.com/aniketkabra/Instatute,
jazmynmuhammad||blanca19||Hannah2002-Siegel Siegel,https://devpost.com/jazmynmuhammad||https://devpost.com/blanca19||https://devpost.com/Hannah2002-Siegel,html||javascript,1085,PixelHacks IV,,https://pixelhacks-iv.devpost.com/,False,0,8,1,Health A,https://devpost.com/software/health-a,https://woolly-rook.glitch.me/,
Michael Sprintson||Andrew Feng||Timothy Goh||colinbking King||Seung Hun Jang,https://devpost.com/firemike||https://devpost.com/asfeng6||https://devpost.com/pinser||https://devpost.com/colinbking||https://devpost.com/sj43,matlab||nltk||numpy||pandas||python||sklearn,2593,Rice Datathon 2020,,https://rice-datathon-2020.devpost.com/,False,0,2,4,Course Evaluation Analytics,https://devpost.com/software/course-evaluation-analytics,https://github.com/michaelsprintson/riceDatathon2020/tree/master,
Ricardo Landaeta||Bryan Ofuokwu||alisah11,https://devpost.com/rickylandaeta98||https://devpost.com/bryanofuokwu||https://devpost.com/alisah11,apple-maps||javascript||kaggle||react-native,1668,TAMUhack 2020,,https://tamuhack2020.devpost.com/,False,0,4,1,Emergenteer,https://devpost.com/software/emergenteer-z5bf4s,https://github.com/bryanofuokwu/emergenteer,
Darshan Shah,https://devpost.com/dshah2012,elk||flask||github||javascript||kibana||machine-learning||python,1691,ConUHacks V,,https://conuhacks2020.devpost.com/,False,0,2,1,Datawiz,https://devpost.com/software/datawiz,https://github.com/GurpartapSS/DataWIz,
shiprakush Kushwaha||Dakshika Srivastava||Jack Sebastian||Olusola Joshua  Babatunde,https://devpost.com/shiprakush||https://devpost.com/dakshika001||https://devpost.com/jacksebastian1||https://devpost.com/OlusolaJoshuaBabatunde,affinity-mapping||android-studio||animation||dart||data-visualization||figma||firebase||flutter||google-data-studio||google-maps||google-search-api||paypal-transaction-api||radar||sketch||user-testing||wireframes,7104,TAMUhack 2020,,https://tamuhack2020.devpost.com/,False,0,14,1,Driversity,https://devpost.com/software/driversity-8wmsd6,https://drive.google.com/a/tamu.edu/file/d/1c_qk6PTumz0iW8J_9i3B4IyaHLiGRhx1/view?usp=sharing||https://drive.google.com/a/tamu.edu/file/d/1kNqswRqLbu5Erx_Ok4IDy2N-Y_3T7DTZ/view?usp=sharing||http://www.regression-raccoon-restaurants.tech||https://jacksebastian17.github.io/driversity2/||https://docs.google.com/presentation/d/1BstBYBn8E0hlro31CtQHcHDh7L83kOwwQfuBggG_qhg/edit?usp=sharing||https://github.com/SolaJr/Driversity-,
Tanish Baranwal||Anirudh Balaji||Cyb3r Blaze,https://devpost.com/tekotan||https://devpost.com/anirudhb||https://devpost.com/Cyb3rBlaze,c#||deeplearning||dialogflow||gcp||python||scikit-learn||tensorflow||unity,5177,HealthHack2,,https://healthhack2.devpost.com/,False,0,1,0,O.L.I.V.E.R.,https://devpost.com/software/o-l-i-v-e-r,https://github.com/anirudhb/healthhack2-2020-01-26,
James Joko||Rafael Zhu||ashleystringer,https://devpost.com/jjoko||https://devpost.com/Nova41||https://devpost.com/ashleystringer,bootstrap||frp||java||javascript||jquery||mongodb||react||sparkjava||websockets,1511,BoilerMake VII,,https://boilermake-vii.devpost.com/,False,0,5,1,BoilerChat,https://devpost.com/software/boilerchat-ygolka,,
Terrell Ford||hackinaggie Tovar||João Pedro Schuh,https://devpost.com/TF777||https://devpost.com/hackinaggie||https://devpost.com/joaopedro23vs,c++||google-drive||html5||lxml||powershell||python,1893,TAMUhack 2020,,https://tamuhack2020.devpost.com/||https://rice-datathon-2020.devpost.com/,False,0,3,3,Aggie Advisor,https://devpost.com/software/tamuhack-project-tbd,https://github.com/hackinaggie/tamuHack2020,
Hussein Nagri||Muhammad Ali||Yutong Wang,https://devpost.com/hnagri52||https://devpost.com/muhammadalinajfi1||https://devpost.com/yutongwendywang,assistant||bootstrap||css||firebase||google||html5||javascript||python||recipepuppy||scrapy||spoonacular||voiceflow,3875,DeltaHacks VI,,https://deltahacks6.devpost.com/,False,0,1,1,StillGood,https://devpost.com/software/stillgood,,
Brandon Le,https://devpost.com/brandonle,ffmpeg||google-cloud||machine-learning||python||text-to-speech,7901,TAMUhack 2020,,https://tamuhack2020.devpost.com/,False,0,1,1,PowerPoint to Presentation,https://devpost.com/software/powerpoint-to-presentation,https://github.com/brandonle2001/pptx-to-presentation/,
Vatsal Modgil||Jayesh Tripathi||Prajwal Iyer,https://devpost.com/Vcool360||https://devpost.com/JayeshTripathi||https://devpost.com/prajwaliyer,css||html||javascript||python,449,TAMUhack 2020,,https://tamuhack2020.devpost.com/,False,0,1,0,Dis-Locate,https://devpost.com/software/dis-locate,https://github.com/prajwaliyer/TAMUHACK,
Jerry Li||Samuel Su||Philips Xu||Isaiah Chen,https://devpost.com/jerry7i||https://devpost.com/Samuelsworld||https://devpost.com/philipsilips||https://devpost.com/contactisaiahchen,dart||figma||flask||flutter||news-api||openweather-api||python,1247,,,,False,0,5,0,Snapshot,https://devpost.com/software/snapshot-eybmx9,https://github.com/puepis/Snapshot||https://www.figma.com/proto/Gth0wr2gVmipccuAqrIuNM/Daily-Snapshot?node-id=2%3A2&scaling=scale-down,
Carlos Zarate,https://devpost.com/carloszarate01,bootstrap||css||flask||html||python,1273,TAMUhack 2020,,https://tamuhack2020.devpost.com/,False,0,1,0,AssistMe,https://devpost.com/software/assistme-wj7ain,,
sanyajain24 Sanya Jain,https://devpost.com/sanyajain24,wix,2313,PixelHacks IV,,https://pixelhacks-iv.devpost.com/,False,0,5,0,Lifestyle,https://devpost.com/software/lifestyle-cp9vjg,,
Sarman Aulakh||Saruggan Thiruchelvan,https://devpost.com/aulakh189||https://devpost.com/tsaruggan,css3||html5||javascript||newsapi,1520,DeltaHacks VI,,https://deltahacks6.devpost.com/,False,0,1,0,Forreal,https://devpost.com/software/forreal,https://github.com/Sarman5432/Forreal,
Eliot Laidlaw||Madison Szittai||Tali Bers,https://devpost.com/eliot_laidlaw||https://devpost.com/madison_szittai||https://devpost.com/tali_bers,react,188,Hack@Brown 2020,,https://hackatbrown2020.devpost.com/,True,0,1,0,Swap,https://devpost.com/software/swap-i3damz,,Best Potential for Social Impact
Cynthia Deng||Darren Tang||Jackie Chen||e chung,https://devpost.com/cyn-deng||https://devpost.com/darrentang7i||https://devpost.com/Jackie_Chen||https://devpost.com/estellechung333,c#||unity,1737,DeltaHacks VI,,https://deltahacks6.devpost.com/,False,0,3,0,Fauna Fund,https://devpost.com/software/fauna-fund,https://github.com/jackiechen73/DeltaHacks6,
Brandon Noble||Labib Kazi||Jame Tran,https://devpost.com/brlnoble||https://devpost.com/kazia3||https://devpost.com/JameTran,css||html||javascript,1423,DeltaHacks VI,,https://deltahacks6.devpost.com/,False,0,1,0,FeedMe,https://devpost.com/software/deltahacks6-2e43r8,https://brlnoble.github.io/DeltaHacks6/FrontEnd/index.html,
