hackathon_url,num_submission,popular
https://build.devpost.com/,102,Yes
https://uofthacksvi.devpost.com/,102,Yes
https://mhacks9.devpost.com/,102,Yes
https://dubhacks15f.devpost.com/,102,Yes
https://hackru-s16.devpost.com/,101,Yes
https://hackdavis2017.devpost.com/,100,Yes
https://hackbca3.devpost.com/,100,Yes
https://brickhack3.devpost.com/,99,Yes
https://sdhacks2016.devpost.com/,99,Yes
https://medhacks2017.devpost.com/,98,Yes
https://hackupc2017w.devpost.com/,98,Yes
https://rv2019.devpost.com/,97,Yes
https://vandyhacksv.devpost.com/,97,Yes
https://sdhacks2017.devpost.com/,97,Yes
https://mchacks-2017.devpost.com/,97,Yes
https://hackarizona2016.devpost.com/,97,Yes
https://hacksc2019.devpost.com/,96,Yes
https://hacknroll2017.devpost.com/,96,Yes
https://hackucsc2017.devpost.com/,96,Yes
https://hackru-f19.devpost.com/,95,Yes
https://swamphacks-v.devpost.com/,95,Yes
https://hackprinceton-fall16.devpost.com/,95,Yes
https://hackillinois-2018.devpost.com/,94,Yes
https://shehacksboston.devpost.com/,94,Yes
https://brickhack4.devpost.com/,94,Yes
https://hackucsc16.devpost.com/,94,Yes
https://bostonhacks-f2018.devpost.com/,93,Yes
https://hackharvard2016.devpost.com/,93,Yes
https://disruptny2016.devpost.com/,93,Yes
https://hackwestern6.devpost.com/,92,Yes
https://globalhack7.devpost.com/,92,Yes
https://hackwestern3.devpost.com/,92,Yes
https://hackumass-iv.devpost.com/,92,Yes
https://hacktech.devpost.com/,92,Yes
https://hackuci2020.devpost.com/,91,Yes
https://mchacks6.devpost.com/,91,Yes
https://hackcu4.devpost.com/,91,Yes
https://intelhacks.devpost.com/,91,Yes
https://hackupc2016f.devpost.com/,91,Yes
https://hackwestern5.devpost.com/,90,Yes
https://medhacks-2018.devpost.com/,90,Yes
https://vandyhacks3.devpost.com/,90,Yes
https://hacknc2019.devpost.com/,89,Yes
https://hackprincetons2016.devpost.com/,89,Yes
https://hackduke2015.devpost.com/,89,Yes
https://boilermake-vii.devpost.com/,88,Yes
https://vandyhacksvi.devpost.com/,88,Yes
https://zwei.devpost.com/,88,Yes
https://cruzhacks-2019.devpost.com/,88,Yes
https://mchacks2018.devpost.com/,88,Yes
https://cruzhacks2018.devpost.com/,88,Yes
https://hacktx17.devpost.com/,88,Yes
https://disruptny2017.devpost.com/,88,Yes
https://hacknyu2017.devpost.com/,88,Yes
https://dubhacks16f.devpost.com/,88,Yes
https://wildhacks2015.devpost.com/,88,Yes
https://hacktech2017.devpost.com/,87,Yes
https://hackdfw2019.devpost.com/,86,Yes
https://sbhacksv.devpost.com/,86,Yes
https://hacktx18.devpost.com/,86,Yes
https://losaltoshacks3.devpost.com/,86,Yes
https://nwhacks2017.devpost.com/,86,Yes
https://hacktx19.devpost.com/,85,Yes
https://losaltoshacks4.devpost.com/,85,Yes
https://hackathon-pintar.devpost.com/,85,Yes
https://qhacks2017.devpost.com/,85,Yes
https://wildhacks2016.devpost.com/,85,Yes
https://hackfsu16.devpost.com/,85,Yes
https://ubhacking2019.devpost.com/,84,Yes
https://hackpsu-fall-2018.devpost.com/,84,Yes
https://hackuva2018.devpost.com/,84,Yes
https://hackisu-s17.devpost.com/,84,Yes
https://treehacks-2016.devpost.com/,84,Yes
https://hackrice-2016.devpost.com/,84,Yes
https://boilermake2015.devpost.com/,84,Yes
https://hackatum18.devpost.com/,83,Yes
https://hackharvard2019.devpost.com/,82,Yes
https://hackmty-2019.devpost.com/,82,Yes
https://hackutd18.devpost.com/,82,Yes
https://swamphacks-iv.devpost.com/,82,Yes
https://hackatbrown2016.devpost.com/,82,Yes
https://mhacks12.devpost.com/,81,Yes
https://hacktech2019.devpost.com/,81,Yes
https://boilermake-vi.devpost.com/,81,Yes
https://thacks2.devpost.com/,81,Yes
https://hacktj2017.devpost.com/,81,Yes
https://swamphacks2017.devpost.com/,81,Yes
https://hack-the-6ix-2019.devpost.com/,80,Yes
https://hacknyu2018.devpost.com/,80,Yes
https://earthack.devpost.com/,80,Yes
https://hackdavis2019.devpost.com/,79,Yes
https://bostonhacks-2019.devpost.com/,78,Yes
https://swamphacks2016.devpost.com/,78,Yes
https://disrupteu2015.devpost.com/,78,Yes
https://elevate-tech-jam-2019.devpost.com/,77,Yes
https://knight-hacks-2019.devpost.com/,77,Yes
https://ic-hack-19.devpost.com/,77,Yes
https://hacktech2018.devpost.com/,77,Yes
https://uofthacksv.devpost.com/,77,Yes
https://hacknc-2016.devpost.com/,77,Yes
https://tamuhack-2016.devpost.com/,77,Yes
https://sdhacks.devpost.com/,77,Yes
https://hack-cambridge-101.devpost.com/,76,Yes
https://hackuci2019.devpost.com/,76,Yes
https://attappchallenge.devpost.com/,76,Yes
https://hacknc.devpost.com/,76,Yes
https://mongodbworld19.devpost.com/,75,Yes
https://hackru-s19.devpost.com/,75,Yes
https://hackduke-2018.devpost.com/,75,Yes
https://hackpsu-s2018.devpost.com/,75,Yes
https://hackatbrown2017.devpost.com/,75,Yes
https://hacked-2020.devpost.com/,74,Yes
https://disruptsf2019.devpost.com/,74,Yes
https://pytorch.devpost.com/,74,Yes
https://athenahacks2019.devpost.com/,74,Yes
https://hackharvard2015.devpost.com/,74,Yes
https://hackuci2018.devpost.com/,73,Yes
